"Farm","Paddock","Mow","Herbicide","Buttercuppc","BareGrnd"
"Farm H","Dry","Mow","Thifensulfuron-methyl",5.5,8
"Farm H","Dry","Mow","MCPA",0.1,11
"Farm H","Dry","Mow","Nil",6.75,15
"Farm H","Dry","Mow","MCPB",4,8
"Farm H","Dry","Mow","Flumetsulam",0.25,18
"Farm H","Dry","Mow","Nil",8.25,28
"Farm H","Dry","Mow","Aminopyralid",0.055,28
"Farm H","Dry","Mow","MCPB",3,23
"Farm H","Dry","Mow","Thifensulfuron-methyl",5,20
"Farm H","Dry","No Mow","MCPB",12.5,18
"Farm H","Dry","No Mow","Nil",37.5,10
"Farm H","Dry","No Mow","Thifensulfuron-methyl",3.25,15
"Farm H","Dry","No Mow","Aminopyralid+triclopyr",0.175,30
"Farm H","Dry","No Mow","MCPB+bentazone",2,6
"Farm H","Dry","No Mow","MCPB",7.75,11
"Farm H","Dry","No Mow","Aminopyralid",0.3,40
"Farm H","Dry","No Mow","MCPB+bentazone",1.25,30
"Farm H","Dry","No Mow","Nil",25,25
"Farm H","Dry","No Mow","Aminopyralid",1,15
"Farm H","Dry","No Mow","Thifensulfuron-methyl",4,16
"Farm H","Dry","No Mow","Flumetsulam",0.375,13
"Farm H","Dry","No Mow","Aminopyralid",0.625,40
"Farm H","Dry","No Mow","Flumetsulam",0.35,25
"Farm H","Dry","No Mow","MCPA",1.75,25
"Farm H","Dry","No Mow","Aminopyralid+triclopyr",0.375,30
"Farm H","Dry","No Mow","MCPB",4.25,10
"Farm H","Dry","No Mow","Nil",18,10
"Farm H","Dry","No Mow","Thifensulfuron-methyl",3.25,10
"Farm H","Dry","No Mow","Aminopyralid+triclopyr",0,25
"Farm H","Dry","No Mow","MCPA",1,15
"Farm H","Dry","No Mow","Flumetsulam",0.3,23
"Farm H","Dry","No Mow","MCPA",1.875,15
"Farm H","Dry","No Mow","MCPB+bentazone",0.25,15
"Farm H","Wet","Mow","MCPB+bentazone",0,475
"Farm H","Wet","Mow","Thifensulfuron-methyl",0,275
"Farm H","Wet","Mow","Aminopyralid",0,475
"Farm H","Wet","Mow","Aminopyralid+triclopyr",0,475
"Farm H","Wet","Mow","Flumetsulam",0,175
"Farm H","Wet","Mow","Thifensulfuron-methyl",0,250
"Farm H","Wet","Mow","Flumetsulam",0.005,250
"Farm H","Wet","Mow","MCPB",1.5,275
"Farm H","Wet","Mow","MCPB+bentazone",2.55,200
"Farm H","Wet","Mow","Nil",4,170
"Farm H","Wet","Mow","Thifensulfuron-methyl",0.3,200
"Farm H","Wet","Mow","Nil",3,160
"Farm H","Wet","Mow","Aminopyralid+triclopyr",0,175
"Farm H","Wet","Mow","MCPA",0.05,175
"Farm H","Wet","Mow","Nil",2.75,125
"Farm H","Wet","Mow","Flumetsulam",0,200
"Farm H","Wet","Mow","MCPA",0,225
"Farm H","Wet","Mow","Aminopyralid",0,250
"Farm H","Wet","Mow","Aminopyralid+triclopyr",0,205
"Farm H","Wet","Mow","MCPB",0.3,155
"Farm H","Wet","Mow","MCPA",0,95
"Farm H","Wet","Mow","MCPB",0,125
"Farm H","Wet","Mow","MCPB+bentazone",0,160
"Farm H","Wet","Mow","Aminopyralid",0,150
"Farm H","Wet","No Mow","Aminopyralid",0.1,250
"Farm H","Wet","No Mow","Thifensulfuron-methyl",0,200
"Farm H","Wet","No Mow","Aminopyralid+triclopyr",0,200
"Farm H","Wet","No Mow","MCPB+bentazone",0.1,163
"Farm H","Wet","No Mow","Thifensulfuron-methyl",0.25,88
"Farm H","Wet","No Mow","MCPA",0,275
"Farm H","Wet","No Mow","Nil",12.25,100
"Farm H","Wet","No Mow","MCPB",0,350
"Farm H","Wet","No Mow","Nil",15,90
"Farm H","Wet","No Mow","Flumetsulam",0,125
"Farm H","Wet","No Mow","Aminopyralid+triclopyr",0,150
"Farm H","Wet","No Mow","MCPB+bentazone",0,175
"Farm H","Wet","No Mow","Flumetsulam",0,175
"Farm H","Wet","No Mow","Aminopyralid",0,225
"Farm H","Wet","No Mow","MCPA",0.05,225
"Farm H","Wet","No Mow","Thifensulfuron-methyl",0.005,200
"Farm H","Wet","No Mow","Nil",16.75,58
"Farm H","Wet","No Mow","MCPB+bentazone",0,300
"Farm H","Wet","No Mow","Aminopyralid",0,175
"Farm H","Wet","No Mow","Aminopyralid+triclopyr",0.08,125
"Farm H","Wet","No Mow","MCPB",0.255,100
"Farm H","Wet","No Mow","Flumetsulam",0.175,100
"Farm H","Wet","No Mow","MCPA",0,150
"Farm H","Wet","No Mow","MCPB",0,165
"Farm I","Dry","Mow","Flumetsulam",0.3,110
"Farm I","Dry","Mow","MCPB",2.25,115
"Farm I","Dry","Mow","Flumetsulam",0,165
"Farm I","Dry","Mow","MCPB+bentazone",1.5,95
"Farm I","Dry","Mow","Aminopyralid",1,110
"Farm I","Dry","Mow","MCPA",0,125
"Farm I","Dry","Mow","Aminopyralid",0,125
"Farm I","Dry","Mow","Thifensulfuron-methyl",2,105
"Farm I","Dry","Mow","Aminopyralid+triclopyr",0.125,130
"Farm I","Dry","Mow","Aminopyralid+triclopyr",0,135
"Farm I","Dry","Mow","Nil",9.5,125
"Farm I","Dry","Mow","Nil",16,105
"Farm I","Dry","Mow","MCPB+bentazone",2.25,145
"Farm I","Dry","Mow","MCPB",2.5,120
"Farm I","Dry","Mow","MCPB+bentazone",5.5,130
"Farm I","Dry","Mow","MCPA",0.005,180
"Farm I","Dry","Mow","MCPA",0,155
"Farm I","Dry","Mow","Flumetsulam",0.05,125
"Farm I","Dry","Mow","MCPB",1.25,120
"Farm I","Dry","Mow","Aminopyralid",0.5,130
"Farm I","Dry","Mow","Aminopyralid+triclopyr",0,100
"Farm I","Dry","Mow","Thifensulfuron-methyl",0.75,125
"Farm I","Dry","Mow","Nil",8.75,95
"Farm I","Dry","Mow","Thifensulfuron-methyl",1.25,110
"Farm I","Dry","No Mow","Nil",40,35
"Farm I","Dry","No Mow","MCPA",0.125,65
"Farm I","Dry","No Mow","Aminopyralid",0.05,85
"Farm I","Dry","No Mow","MCPB+bentazone",2,55
"Farm I","Dry","No Mow","Aminopyralid",0,60
"Farm I","Dry","No Mow","Thifensulfuron-methyl",1,50
