"Farm","Paddock","Mow","Herbicide","Buttercuppc","BareGrnd"
"Farm E","Wet","Mow","MCPA",1.4,290
"Farm E","Wet","Mow","Aminopyralid+triclopyr",0,245
"Farm E","Wet","Mow","MCPB+bentazone",1.1,150
"Farm E","Wet","Mow","Aminopyralid+triclopyr",0,250
"Farm E","Wet","Mow","MCPB+bentazone",1.4,225
"Farm E","Wet","Mow","Thifensulfuron-methyl",3.15,210
"Farm E","Wet","Mow","Aminopyralid",0,200
"Farm E","Wet","Mow","MCPA",0.625,210
"Farm E","Wet","Mow","MCPA",0.875,215
"Farm E","Wet","Mow","Thifensulfuron-methyl",2.25,185
"Farm E","Wet","Mow","MCPB",2.6,185
"Farm E","Wet","Mow","Nil",4,200
"Farm E","Wet","Mow","MCPB+bentazone",0.75,200
"Farm E","Wet","Mow","Nil",6,180
"Farm E","Wet","Mow","MCPB",5,155
"Farm E","Wet","Mow","Flumetsulam",9.25,235
"Farm E","Wet","No Mow","MCPB",8,90
"Farm E","Wet","No Mow","MCPB+bentazone",8.5,90
"Farm E","Wet","No Mow","Nil",11,95
"Farm E","Wet","No Mow","Flumetsulam",15.75,50
"Farm E","Wet","No Mow","Flumetsulam",36.25,38
"Farm E","Wet","No Mow","Aminopyralid",0.125,80
"Farm E","Wet","No Mow","Nil",23,45
"Farm E","Wet","No Mow","Nil",11.5,65
"Farm E","Wet","No Mow","Aminopyralid+triclopyr",0.1,65
"Farm E","Wet","No Mow","Aminopyralid",0.225,70
"Farm E","Wet","No Mow","Thifensulfuron-methyl",21,35
"Farm E","Wet","No Mow","MCPB+bentazone",8,45
"Farm E","Wet","No Mow","MCPA",6,55
"Farm E","Wet","No Mow","MCPB",10.5,60
"Farm E","Wet","No Mow","MCPA",2,45
"Farm E","Wet","No Mow","Thifensulfuron-methyl",13.5,33
"Farm E","Wet","No Mow","MCPB+bentazone",4.75,60
"Farm E","Wet","No Mow","Flumetsulam",15.5,40
"Farm E","Wet","No Mow","Aminopyralid",0.175,43
"Farm E","Wet","No Mow","Aminopyralid+triclopyr",0,40
"Farm E","Wet","No Mow","Thifensulfuron-methyl",21,45
"Farm E","Wet","No Mow","Aminopyralid+triclopyr",0,33
"Farm E","Wet","No Mow","MCPA",3.5,35
"Farm E","Wet","No Mow","MCPB",11,60
"Farm E","Dry","Mow","Flumetsulam",0.175,40
"Farm E","Dry","Mow","MCPA",3.5,50
"Farm E","Dry","Mow","MCPB+bentazone",16.5,85
"Farm E","Dry","Mow","Nil",14.75,60
"Farm E","Dry","Mow","Nil",10.5,75
"Farm E","Dry","Mow","MCPA",14,125
"Farm E","Dry","Mow","Aminopyralid+triclopyr",0,100
"Farm E","Dry","Mow","Flumetsulam",1.5,100
"Farm E","Dry","Mow","Aminopyralid",0.55,100
"Farm E","Dry","Mow","Thifensulfuron-methyl",0.5,60
"Farm E","Dry","Mow","Thifensulfuron-methyl",0.55,43
"Farm E","Dry","Mow","MCPB",4.5,70
"Farm E","Dry","Mow","Nil",6.75,75
"Farm E","Dry","Mow","MCPB+bentazone",1.5,35
"Farm E","Dry","Mow","MCPA",3,58
"Farm E","Dry","Mow","Thifensulfuron-methyl",4,38
"Farm E","Dry","Mow","Flumetsulam",0.05,40
"Farm E","Dry","Mow","MCPB",17,40
"Farm E","Dry","Mow","Aminopyralid+triclopyr",0,125
"Farm E","Dry","Mow","Aminopyralid",0.05,100
"Farm E","Dry","Mow","Aminopyralid+triclopyr",0,85
"Farm E","Dry","Mow","MCPB",5.75,45
"Farm E","Dry","Mow","MCPB+bentazone",0.1,45
"Farm E","Dry","Mow","Aminopyralid",0.05,48
"Farm E","Dry","No Mow","MCPB",10.5,8
"Farm E","Dry","No Mow","Aminopyralid+triclopyr",0.05,55
"Farm E","Dry","No Mow","MCPB+bentazone",3.25,50
"Farm E","Dry","No Mow","Aminopyralid",0,75
"Farm E","Dry","No Mow","MCPB",4.25,35
"Farm E","Dry","No Mow","MCPA",0.6,50
"Farm E","Dry","No Mow","Flumetsulam",0.8,60
"Farm E","Dry","No Mow","Nil",6,65
"Farm E","Dry","No Mow","Aminopyralid",0.3,105
"Farm E","Dry","No Mow","Aminopyralid",0.3,85
"Farm E","Dry","No Mow","Flumetsulam",2,75
"Farm E","Dry","No Mow","Thifensulfuron-methyl",1.25,95
"Farm E","Dry","No Mow","Nil",42.5,25
"Farm E","Dry","No Mow","MCPB+bentazone",0.05,125
"Farm E","Dry","No Mow","MCPB+bentazone",2.75,105
"Farm E","Dry","No Mow","MCPB",2.75,155
"Farm E","Dry","No Mow","Aminopyralid+triclopyr",0.005,120
"Farm E","Dry","No Mow","Thifensulfuron-methyl",1.5,40
"Farm E","Dry","No Mow","MCPA",3,30
"Farm E","Dry","No Mow","Nil",5.75,55
"Farm E","Dry","No Mow","Thifensulfuron-methyl",0.75,100
"Farm E","Dry","No Mow","Flumetsulam",0.1,90
"Farm E","Dry","No Mow","MCPA",0.15,115
"Farm E","Dry","No Mow","Aminopyralid+triclopyr",0,153
"Farm D","Wet","Mow","Aminopyralid",0.2,25
"Farm D","Wet","Mow","Aminopyralid+triclopyr",0,25
"Farm D","Wet","Mow","MCPB+bentazone",3.5,28
"Farm D","Wet","Mow","MCPA",1.5,15
"Farm D","Wet","Mow","MCPB",1.5,13
"Farm D","Wet","Mow","Flumetsulam",0,0
"Farm D","Wet","Mow","MCPA",0.75,10
"Farm D","Wet","Mow","Nil",5.25,6
"Farm D","Wet","Mow","MCPA",0.225,9
"Farm D","Wet","Mow","Thifensulfuron-methyl",0.3,14
"Farm D","Wet","Mow","Aminopyralid",0,18
"Farm D","Wet","Mow","MCPB+bentazone",0.25,10
"Farm D","Wet","Mow","MCPB",0.4,11
"Farm D","Wet","Mow","Aminopyralid+triclopyr",0,13
"Farm D","Wet","Mow","Aminopyralid+triclopyr",0,20
"Farm D","Wet","Mow","Aminopyralid",0,30
"Farm D","Wet","Mow","Nil",14.5,13
"Farm D","Wet","Mow","Flumetsulam",0.25,25
"Farm D","Wet","Mow","Thifensulfuron-methyl",0.5,38
"Farm D","Wet","Mow","Flumetsulam",0,18
"Farm D","Wet","Mow","MCPB",0,16
"Farm D","Wet","Mow","Thifensulfuron-methyl",1.1,14
"Farm D","Wet","Mow","MCPB+bentazone",0.35,32
"Farm D","Wet","Mow","Nil",8,15
"Farm D","Wet","No Mow","Aminopyralid",0,45
"Farm D","Wet","No Mow","Aminopyralid+triclopyr",0.1,60
"Farm D","Wet","No Mow","Thifensulfuron-methyl",1.5,40
"Farm D","Wet","No Mow","Nil",5.5,8
"Farm D","Wet","No Mow","Thifensulfuron-methyl",0.15,35
"Farm D","Wet","No Mow","MCPB+bentazone",2.5,8
"Farm D","Wet","No Mow","MCPB",5,10
"Farm D","Wet","No Mow","MCPB",6,7
"Farm D","Wet","No Mow","Thifensulfuron-methyl",1.5,18
"Farm D","Wet","No Mow","Flumetsulam",0.75,5
"Farm D","Wet","No Mow","Flumetsulam",0,10
"Farm D","Wet","No Mow","Aminopyralid+triclopyr",0.1,205
"Farm D","Wet","No Mow","MCPB+bentazone",6.5,25
"Farm D","Wet","No Mow","MCPA",0.1,55
"Farm D","Wet","No Mow","Aminopyralid",0,40
"Farm D","Wet","No Mow","Flumetsulam",0.125,4
"Farm D","Wet","No Mow","Nil",12,3
"Farm D","Wet","No Mow","Aminopyralid+triclopyr",0,40
"Farm D","Wet","No Mow","Nil",8.75,27
"Farm D","Wet","No Mow","MCPA",0.2,50
"Farm D","Wet","No Mow","Aminopyralid",0,30
"Farm D","Wet","No Mow","MCPA",0.1,25
"Farm D","Wet","No Mow","MCPB",1.6,20
"Farm D","Wet","No Mow","MCPB+bentazone",2,13
"Farm D","Dry","Mow","MCPA",0.6,60
"Farm D","Dry","Mow","Nil",5.5,1
"Farm D","Dry","Mow","Nil",5.25,4
"Farm D","Dry","Mow","MCPB",5,8
"Farm D","Dry","Mow","Flumetsulam",0.65,4
"Farm D","Dry","Mow","Aminopyralid+triclopyr",0,30
"Farm D","Dry","Mow","Thifensulfuron-methyl",1.75,15
"Farm D","Dry","Mow","Aminopyralid",0.1,30
"Farm D","Dry","Mow","Aminopyralid",0,20
"Farm D","Dry","Mow","Aminopyralid+triclopyr",0,65
"Farm D","Dry","Mow","MCPB",3.5,7
"Farm D","Dry","Mow","Nil",6,5
"Farm D","Dry","Mow","Thifensulfuron-methyl",2.8,2
"Farm D","Dry","Mow","MCPB+bentazone",1.25,3
"Farm D","Dry","Mow","MCPA",1.5,68
"Farm D","Dry","Mow","Thifensulfuron-methyl",1.4,4
"Farm D","Dry","Mow","Flumetsulam",0.3,5
"Farm D","Dry","Mow","MCPA",1.25,35
"Farm D","Dry","Mow","Aminopyralid",0,60
"Farm D","Dry","Mow","Flumetsulam",0.575,4
"Farm D","Dry","Mow","MCPB+bentazone",1.75,28
"Farm D","Dry","Mow","MCPB+bentazone",1.65,11
"Farm D","Dry","Mow","Aminopyralid+triclopyr",1.1,40
"Farm D","Dry","Mow","MCPB",3.5,9
"Farm D","Dry","No Mow","MCPA",0.45,28
"Farm D","Dry","No Mow","MCPB",1.2,13
"Farm D","Dry","No Mow","Aminopyralid+triclopyr",0.05,29
"Farm D","Dry","No Mow","MCPB+bentazone",0.55,45
"Farm D","Dry","No Mow","Aminopyralid+triclopyr",1.1,60
"Farm D","Dry","No Mow","MCPA",1,10
"Farm D","Dry","No Mow","Nil",8,0
"Farm D","Dry","No Mow","MCPB+bentazone",0.1,9
"Farm D","Dry","No Mow","Nil",16,3
"Farm D","Dry","No Mow","Flumetsulam",0,10
"Farm D","Dry","No Mow","Flumetsulam",0,10
"Farm D","Dry","No Mow","MCPA",0.2,30
"Farm D","Dry","No Mow","Aminopyralid+triclopyr",0,30
"Farm D","Dry","No Mow","Thifensulfuron-methyl",1,25
"Farm D","Dry","No Mow","Aminopyralid",0.05,55
"Farm D","Dry","No Mow","MCPB",4.75,14
"Farm D","Dry","No Mow","Nil",4.5,0
"Farm D","Dry","No Mow","MCPB+bentazone",0.25,2
"Farm D","Dry","No Mow","Thifensulfuron-methyl",0.05,5
"Farm D","Dry","No Mow","MCPB",1.25,5
"Farm D","Dry","No Mow","Aminopyralid",0,25
"Farm D","Dry","No Mow","Aminopyralid",0,30
"Farm D","Dry","No Mow","Thifensulfuron-methyl",0.7,55
"Farm D","Dry","No Mow","Flumetsulam",0.5,0
"Farm G","Wet","Mow","Nil",3.875,0
"Farm G","Wet","Mow","MCPB",6.25,0
"Farm G","Wet","Mow","MCPA",1.75,0
"Farm G","Wet","Mow","MCPB+bentazone",1.5,0
"Farm G","Wet","Mow","Flumetsulam",0.75,0
"Farm G","Wet","Mow","MCPA",3.25,5
"Farm G","Wet","Mow","Nil",8.5,0
"Farm G","Wet","Mow","MCPB",7.5,3
"Farm G","Wet","Mow","Flumetsulam",0.125,0
"Farm G","Wet","Mow","Thifensulfuron-methyl",2.1,0
"Farm G","Wet","Mow","MCPB+bentazone",3.125,0
"Farm G","Wet","Mow","Thifensulfuron-methyl",1.5,3
"Farm G","Wet","Mow","Aminopyralid+triclopyr",0.15,0
"Farm G","Wet","Mow","Aminopyralid+triclopyr",0.15,0
"Farm G","Wet","Mow","Aminopyralid",0.9,5
"Farm G","Wet","Mow","MCPB",9.75,0
"Farm G","Wet","Mow","Aminopyralid+triclopyr",0.15,0
"Farm G","Wet","Mow","Nil",2,5
"Farm G","Wet","Mow","MCPA",3,0
"Farm G","Wet","Mow","Flumetsulam",0.05,0
"Farm G","Wet","Mow","Aminopyralid",0.3,0
"Farm G","Wet","Mow","MCPB+bentazone",4,2
"Farm G","Wet","Mow","Aminopyralid",0.425,0
"Farm G","Wet","Mow","Thifensulfuron-methyl",3,0
"Farm G","Wet","No Mow","Aminopyralid+triclopyr",0.9,5
"Farm G","Wet","No Mow","Aminopyralid+triclopyr",0.2,9
"Farm G","Wet","No Mow","MCPA",5,9
"Farm G","Wet","No Mow","Thifensulfuron-methyl",2.375,10
"Farm G","Wet","No Mow","MCPB+bentazone",7.5,4
"Farm G","Wet","No Mow","Flumetsulam",0.65,0
"Farm G","Wet","No Mow","Flumetsulam",0.65,0
"Farm G","Wet","No Mow","Aminopyralid",0.125,8
"Farm G","Wet","No Mow","MCPB",9,4
"Farm G","Wet","No Mow","Aminopyralid",0.2,3
"Farm G","Wet","No Mow","Nil",24,1
"Farm G","Wet","No Mow","MCPB+bentazone",12.5,3
"Farm G","Wet","No Mow","MCPA",8,0
"Farm G","Wet","No Mow","MCPB+bentazone",4.75,0
"Farm G","Wet","No Mow","MCPA",7,6
"Farm G","Wet","No Mow","Nil",8,0
"Farm G","Wet","No Mow","Aminopyralid+triclopyr",0.25,3
"Farm G","Wet","No Mow","Thifensulfuron-methyl",1.5,0
"Farm G","Wet","No Mow","Aminopyralid",0.1,0
"Farm G","Wet","No Mow","Thifensulfuron-methyl",3.5,0
"Farm G","Wet","No Mow","MCPB",4,0
"Farm G","Wet","No Mow","MCPB",5.375,0
"Farm G","Wet","No Mow","Flumetsulam",1.25,0
"Farm G","Wet","No Mow","Nil",12.5,0
"Farm G","Dry","Mow","MCPA",7,0
"Farm G","Dry","Mow","Thifensulfuron-methyl",1,2
"Farm G","Dry","Mow","MCPA",8.5,0
"Farm G","Dry","Mow","Nil",52.5,0
"Farm G","Dry","Mow","Aminopyralid+triclopyr",0,0
"Farm G","Dry","Mow","Aminopyralid",0.05,0
"Farm G","Dry","Mow","Nil",57.5,0
"Farm G","Dry","Mow","Aminopyralid",0.1,1
"Farm G","Dry","Mow","MCPB+bentazone",11.5,1
"Farm G","Dry","Mow","Flumetsulam",1.125,3
"Farm G","Dry","Mow","MCPA",6,2
"Farm G","Dry","Mow","Thifensulfuron-methyl",2,0
"Farm G","Dry","Mow","Flumetsulam",0.65,0
"Farm G","Dry","Mow","Aminopyralid",0.2,2
"Farm G","Dry","Mow","MCPB+bentazone",4,3
"Farm G","Dry","Mow","Thifensulfuron-methyl",2,3
"Farm G","Dry","Mow","Nil",14,3
"Farm G","Dry","Mow","Flumetsulam",0.25,0
"Farm G","Dry","Mow","Aminopyralid+triclopyr",0.05,6
"Farm G","Dry","Mow","MCPB",15,8
"Farm G","Dry","Mow","MCPB+bentazone",6,16
"Farm G","Dry","Mow","MCPB",20,1
"Farm G","Dry","Mow","Aminopyralid+triclopyr",0.1,13
"Farm G","Dry","Mow","MCPB",6,1
"Farm G","Dry","No Mow","MCPA",20,0
"Farm G","Dry","No Mow","MCPB",40,0
"Farm G","Dry","No Mow","MCPB+bentazone",35,0
"Farm G","Dry","No Mow","Aminopyralid+triclopyr",0.1,0
"Farm G","Dry","No Mow","Thifensulfuron-methyl",1,0
"Farm G","Dry","No Mow","Flumetsulam",1.25,0
"Farm G","Dry","No Mow","MCPB+bentazone",13.5,0
"Farm G","Dry","No Mow","Flumetsulam",0.575,1
"Farm G","Dry","No Mow","MCPA",7,0
"Farm G","Dry","No Mow","Nil",40,0
"Farm G","Dry","No Mow","MCPA",9,0
"Farm G","Dry","No Mow","Aminopyralid",0.35,0
"Farm G","Dry","No Mow","MCPB",9,0
"Farm G","Dry","No Mow","Thifensulfuron-methyl",1.125,0
"Farm G","Dry","No Mow","Aminopyralid+triclopyr",0.025,5
"Farm G","Dry","No Mow","Flumetsulam",0.2,1
"Farm G","Dry","No Mow","Aminopyralid",0.45,0
"Farm G","Dry","No Mow","Nil",10,0
"Farm G","Dry","No Mow","Thifensulfuron-methyl",1.875,0
"Farm G","Dry","No Mow","MCPB",5.75,2
"Farm G","Dry","No Mow","MCPB+bentazone",2.25,0
"Farm G","Dry","No Mow","Nil",7,0
"Farm G","Dry","No Mow","Aminopyralid+triclopyr",0,2
"Farm G","Dry","No Mow","Aminopyralid",0.15,3
"Farm F","Wet","Mow","Aminopyralid+triclopyr",0,35
"Farm F","Wet","Mow","Nil",4,11
"Farm F","Wet","Mow","Aminopyralid",0,30
"Farm F","Wet","Mow","MCPB+bentazone",1.5,20
"Farm F","Wet","Mow","Aminopyralid",0,23
"Farm F","Wet","Mow","MCPB",3.25,8
"Farm F","Wet","Mow","MCPB",4,13
"Farm F","Wet","Mow","Flumetsulam",1.75,8
"Farm F","Wet","Mow","MCPB+bentazone",4.25,9
"Farm F","Wet","Mow","Aminopyralid",0,10
"Farm F","Wet","Mow","Thifensulfuron-methyl",4.5,15
"Farm F","Wet","Mow","MCPA",4,18
"Farm F","Wet","Mow","Thifensulfuron-methyl",5.25,13
"Farm F","Wet","Mow","Nil",6.5,13
"Farm F","Wet","Mow","MCPB",4.25,23
"Farm F","Wet","Mow","Flumetsulam",2.5,9
"Farm F","Wet","Mow","Aminopyralid+triclopyr",0,40
"Farm F","Wet","Mow","Aminopyralid+triclopyr",0,6
"Farm F","Wet","Mow","MCPA",1,13
"Farm F","Wet","Mow","Thifensulfuron-methyl",4,21
"Farm F","Wet","Mow","Flumetsulam",1.5,13
"Farm F","Wet","Mow","Nil",11,7
"Farm F","Wet","Mow","MCPB+bentazone",1.5,25
"Farm F","Wet","Mow","MCPA",1,18
"Farm F","Wet","No Mow","Flumetsulam",1.225,18
"Farm F","Wet","No Mow","MCPB",2.25,30
"Farm F","Wet","No Mow","Aminopyralid+triclopyr",0,28
"Farm F","Wet","No Mow","MCPB+bentazone",1,20
"Farm F","Wet","No Mow","MCPA",2.25,8
"Farm F","Wet","No Mow","MCPA",0.625,6
"Farm F","Wet","No Mow","MCPB+bentazone",2.875,13
"Farm F","Wet","No Mow","Aminopyralid+triclopyr",0,23
"Farm F","Wet","No Mow","Flumetsulam",1.5,13
"Farm F","Wet","No Mow","Thifensulfuron-methyl",0.15,28
"Farm F","Wet","No Mow","Nil",9,3
"Farm F","Wet","No Mow","Aminopyralid",0.075,11
"Farm F","Wet","No Mow","Flumetsulam",0.75,13
"Farm F","Wet","No Mow","MCPB+bentazone",3.25,12
"Farm F","Wet","No Mow","Aminopyralid",0.225,20
"Farm F","Wet","No Mow","MCPB",6.5,10
"Farm F","Wet","No Mow","Nil",15,3
"Farm F","Wet","No Mow","Thifensulfuron-methyl",8.5,13
"Farm F","Wet","No Mow","MCPB",5.5,8
"Farm F","Wet","No Mow","MCPA",3.75,6
"Farm F","Wet","No Mow","Thifensulfuron-methyl",4,10
"Farm F","Wet","No Mow","Nil",10.5,8
"Farm F","Wet","No Mow","Aminopyralid",0.06,6
"Farm F","Wet","No Mow","Aminopyralid+triclopyr",0.025,5
"Farm F","Dry","Mow","Flumetsulam",0,120
"Farm F","Dry","Mow","Aminopyralid+triclopyr",0,105
"Farm F","Dry","Mow","MCPA",0.15,135
"Farm F","Dry","Mow","Flumetsulam",0,100
"Farm F","Dry","Mow","Nil",2,240
"Farm F","Dry","Mow","Thifensulfuron-methyl",0.125,35
"Farm F","Dry","Mow","MCPA",0.9,90
"Farm F","Dry","Mow","MCPA",0.2,65
"Farm F","Dry","Mow","Aminopyralid",0,120
"Farm F","Dry","Mow","MCPB",1,120
"Farm F","Dry","Mow","Thifensulfuron-methyl",0.1,115
"Farm F","Dry","Mow","Aminopyralid",0,95
"Farm F","Dry","Mow","Thifensulfuron-methyl",0.1,105
"Farm F","Dry","Mow","Flumetsulam",0.1,75
"Farm F","Dry","Mow","MCPB",0.85,150
"Farm F","Dry","Mow","Nil",1,145
"Farm F","Dry","Mow","Aminopyralid",0.2,160
"Farm F","Dry","Mow","Aminopyralid+triclopyr",0,75
"Farm F","Dry","Mow","Aminopyralid+triclopyr",0,70
"Farm F","Dry","Mow","MCPB+bentazone",0.6,80
"Farm F","Dry","Mow","MCPB+bentazone",0.35,80
"Farm F","Dry","Mow","MCPB",0.1,75
"Farm F","Dry","Mow","Nil",1,75
"Farm F","Dry","Mow","MCPB+bentazone",1,73
"Farm F","Dry","No Mow","MCPB",1,25
"Farm F","Dry","No Mow","Nil",8,35
"Farm F","Dry","No Mow","MCPB+bentazone",0.375,15
"Farm F","Dry","No Mow","Aminopyralid+triclopyr",0,25
"Farm F","Dry","No Mow","Thifensulfuron-methyl",0,30
"Farm F","Dry","No Mow","Aminopyralid",0,8
"Farm F","Dry","No Mow","Aminopyralid+triclopyr",0,40
"Farm F","Dry","No Mow","Thifensulfuron-methyl",0,85
"Farm F","Dry","No Mow","Flumetsulam",0,85
"Farm F","Dry","No Mow","MCPB+bentazone",1.75,58
"Farm F","Dry","No Mow","Aminopyralid",0,60
"Farm F","Dry","No Mow","Thifensulfuron-methyl",0.075,125
"Farm F","Dry","No Mow","MCPB",1.5,70
"Farm F","Dry","No Mow","Flumetsulam",0,80
"Farm F","Dry","No Mow","Aminopyralid",0,85
"Farm F","Dry","No Mow","MCPB",0.175,38
"Farm F","Dry","No Mow","Nil",1,90
"Farm F","Dry","No Mow","Aminopyralid+triclopyr",0,125
"Farm F","Dry","No Mow","Nil",4.5,35
"Farm F","Dry","No Mow","MCPA",0.225,35
"Farm F","Dry","No Mow","MCPA",1.25,110
"Farm F","Dry","No Mow","Flumetsulam",0.35,95
"Farm F","Dry","No Mow","MCPA",0,60
"Farm F","Dry","No Mow","MCPB+bentazone",0,35
